JoinerType,IndexType,Workers,Attempt,Status,Duration_ms,Throughput_tuples_s
handshake,list,4,1,SUCCESS,,850.8
handshake,list,8,1,SUCCESS,,1099.42
handshake,list,12,1,SUCCESS,,1591.38
handshake,list,16,1,SUCCESS,,1904.89
handshake,list,20,1,SUCCESS,,2439.17
handshake,list,24,1,SUCCESS,,2381.6
handshake,list,28,1,SUCCESS,,2529.33
handshake,list,32,1,SUCCESS,,2760.21
handshake,list,36,1,SUCCESS,,2931.2
handshake,list,40,1,SUCCESS,,3045.27
handshake,list,44,1,SUCCESS,,3123.9
handshake,bplustree,4,1,SUCCESS,68530.9,29179.52
handshake,bplustree,8,1,SUCCESS,41262.4,48463.11
handshake,bplustree,12,1,SUCCESS,28634.5,69839.21
handshake,bplustree,16,1,SUCCESS,24199.9,82636.56
handshake,bplustree,20,1,SUCCESS,23417.7,85396.71
handshake,bplustree,24,1,SUCCESS,24142.3,82834.79
handshake,bplustree,28,1,SUCCESS,23177.5,86282.2
handshake,bplustree,32,1,SUCCESS,21275.9,93993.33
handshake,bplustree,36,1,SUCCESS,21220.7,94240.4
handshake,bplustree,40,1,SUCCESS,20824.4,96031.38
handshake,bplustree,44,1,SUCCESS,19426.8,102936.01
broadcast,list,4,1,SUCCESS,,823.51
broadcast,list,8,1,SUCCESS,,1049.1
broadcast,list,12,1,SUCCESS,,1174.84
broadcast,list,16,1,SUCCESS,,1479.48
broadcast,list,20,1,SUCCESS,,1603.91
broadcast,list,24,1,SUCCESS,,1693.04
broadcast,list,28,1,SUCCESS,,1747.12
broadcast,list,32,1,SUCCESS,,1809.45
broadcast,list,36,1,SUCCESS,,1927.33
broadcast,list,40,1,SUCCESS,,1955.92
broadcast,list,44,1,SUCCESS,,2003.17
broadcast,bplustree,4,1,SUCCESS,82694.8,24185.32
broadcast,bplustree,8,1,SUCCESS,42059.6,47551.61
broadcast,bplustree,12,1,SUCCESS,30349.1,65899.89
broadcast,bplustree,16,1,SUCCESS,25497.7,78438.56
broadcast,bplustree,20,1,SUCCESS,23356.9,85627.76
broadcast,bplustree,24,1,SUCCESS,45460.5,43994.27
broadcast,bplustree,28,1,SUCCESS,57097.0,35028.1
broadcast,bplustree,32,1,SUCCESS,66891.3,29899.27
broadcast,bplustree,36,1,SUCCESS,80442.0,24862.63
broadcast,bplustree,40,1,SUCCESS,90466.0,22107.76
broadcast,bplustree,44,1,SUCCESS,98722.1,20258.89
