JoinerType,IndexType,Workers,Attempt,Status,Duration_ms,Throughput_tuples_s
broadcast,bplustree,4,1,SUCCESS,51841.5,38579.16
broadcast,bplustree,4,2,SUCCESS,55838.4,35817.68
broadcast,bplustree,8,1,SUCCESS,30871.9,64783.81
broadcast,bplustree,8,2,SUCCESS,30850.3,64829.11
broadcast,bplustree,12,1,SUCCESS,22424.7,89187.27
broadcast,bplustree,12,2,SUCCESS,22578.4,88580.35
broadcast,bplustree,16,1,SUCCESS,19522.6,102445.35
broadcast,bplustree,16,2,SUCCESS,19430.7,102930.04
broadcast,bplustree,20,1,SUCCESS,36780.9,54376.11
broadcast,bplustree,20,2,SUCCESS,35276.5,56694.97
broadcast,bplustree,24,1,SUCCESS,47653.6,41969.58
broadcast,bplustree,24,2,SUCCESS,50242.8,39806.72
broadcast,bplustree,28,1,SUCCESS,61166.4,32697.67
broadcast,bplustree,28,2,SUCCESS,58456.7,34213.33
broadcast,bplustree,32,1,SUCCESS,70104.1,28529.0
broadcast,bplustree,32,2,SUCCESS,72862.1,27449.1
broadcast,bplustree,36,1,SUCCESS,81841.4,24437.52
broadcast,bplustree,36,2,SUCCESS,81740.6,24467.66
broadcast,bplustree,40,1,SUCCESS,92126.7,21709.24
broadcast,bplustree,40,2,SUCCESS,96313.7,20765.47
broadcast,bplustree,44,1,SUCCESS,112460.0,17784.04
broadcast,bplustree,44,2,SUCCESS,111523.0,17933.59
broadcast,bplustree,48,1,SUCCESS,116890.0,17110.15
broadcast,bplustree,48,2,SUCCESS,116863.0,17114.11
broadcast,alex,4,1,SUCCESS,49306.6,40562.55
broadcast,alex,4,2,SUCCESS,47198.6,42374.13
broadcast,alex,8,1,SUCCESS,29583.3,67605.74
broadcast,alex,8,2,SUCCESS,27895.4,71696.3
broadcast,alex,12,1,SUCCESS,20299.4,98525.18
broadcast,alex,12,2,SUCCESS,19939.9,100301.26
broadcast,alex,16,1,SUCCESS,18025.6,110953.26
broadcast,alex,16,2,SUCCESS,23929.8,83577.75
broadcast,alex,20,1,SUCCESS,41238.0,48498.94
broadcast,alex,20,2,SUCCESS,41356.2,48360.32
broadcast,alex,24,1,SUCCESS,52643.1,37991.67
broadcast,alex,24,2,SUCCESS,53064.2,37690.18
broadcast,alex,28,1,SUCCESS,65027.3,30756.3
broadcast,alex,28,2,SUCCESS,63959.9,31269.59
broadcast,alex,32,1,SUCCESS,75088.0,26635.41
broadcast,alex,32,2,SUCCESS,78673.5,25421.51
broadcast,alex,36,1,SUCCESS,83947.5,23824.43
broadcast,alex,36,2,SUCCESS,88098.9,22701.75
broadcast,alex,40,1,SUCCESS,94915.3,21071.42
broadcast,alex,40,2,SUCCESS,96459.5,20734.08
broadcast,alex,44,1,SUCCESS,103182.0,19383.25
broadcast,alex,44,2,SUCCESS,102928.0,19431.06
broadcast,alex,48,1,SUCCESS,122568.0,16317.51
broadcast,alex,48,2,SUCCESS,112398.0,17793.98
