JoinerType,IndexType,Workers,Attempt,Status,Duration_ms,Throughput_tuples_s
handshake,bplustree,4,1,SUCCESS,48826.8,40957.75
handshake,bplustree,4,2,SUCCESS,47883.3,41763.21
handshake,bplustree,8,1,SUCCESS,28719.3,69632.77
handshake,bplustree,8,2,SUCCESS,29378.2,68070.9
handshake,bplustree,12,1,SUCCESS,23317.5,85764.37
handshake,bplustree,12,2,SUCCESS,23933.5,83556.53
handshake,bplustree,16,1,SUCCESS,20446.4,97801.97
handshake,bplustree,16,2,SUCCESS,20425.9,97904.91
handshake,bplustree,20,1,SUCCESS,19188.5,104218.18
handshake,bplustree,20,2,SUCCESS,18997.6,105260.63
handshake,bplustree,24,1,SUCCESS,19438.4,102880.68
handshake,bplustree,24,2,SUCCESS,20420.6,97933.42
handshake,bplustree,28,1,SUCCESS,20960.5,95408.43
handshake,bplustree,28,2,SUCCESS,18977.1,105380.17
handshake,bplustree,32,1,SUCCESS,19325.0,103482.37
handshake,bplustree,32,2,SUCCESS,19270.6,103774.6
handshake,bplustree,36,1,SUCCESS,18173.2,110044.29
handshake,bplustree,36,2,SUCCESS,18662.3,107162.07
handshake,bplustree,40,1,SUCCESS,17845.4,112062.37
handshake,bplustree,40,2,SUCCESS,17788.3,112421.98
handshake,bplustree,44,1,SUCCESS,18101.4,110480.5
handshake,bplustree,44,2,SUCCESS,18385.6,108771.06
handshake,bplustree,48,1,SUCCESS,28444.4,70309.17
handshake,bplustree,48,2,SUCCESS,28189.1,70939.68
handshake,alex,4,1,SUCCESS,40550.2,49316.59
handshake,alex,4,2,SUCCESS,41057.1,48707.24
handshake,alex,8,1,SUCCESS,24900.3,80312.15
handshake,alex,8,2,SUCCESS,26395.6,75763.2
handshake,alex,12,1,SUCCESS,21404.0,93431.21
handshake,alex,12,2,SUCCESS,19501.9,102543.78
handshake,alex,16,1,SUCCESS,16953.0,117960.84
handshake,alex,16,2,SUCCESS,17962.0,111334.46
handshake,alex,20,1,SUCCESS,17283.6,115707.26
handshake,alex,20,2,SUCCESS,16524.0,121023.3
handshake,alex,24,1,SUCCESS,17720.8,112852.71
handshake,alex,24,2,SUCCESS,17422.0,114785.49
handshake,alex,28,1,SUCCESS,18373.5,108841.73
handshake,alex,28,2,SUCCESS,17521.2,114136.94
handshake,alex,32,1,SUCCESS,17691.0,113034.81
handshake,alex,32,2,SUCCESS,18719.9,106826.98
handshake,alex,36,1,SUCCESS,17058.9,117226.43
handshake,alex,36,2,SUCCESS,18892.8,105852.6
handshake,alex,40,1,SUCCESS,16160.6,123740.05
handshake,alex,40,2,SUCCESS,15133.1,132141.64
handshake,alex,44,1,SUCCESS,15497.4,129036.21
handshake,alex,44,2,SUCCESS,16173.9,123644.74
handshake,alex,48,1,SUCCESS,30960.6,64589.53
handshake,alex,48,2,SUCCESS,26437.4,75641.72
