JoinerType,IndexType,Workers,Attempt,Status,Duration_ms,Throughput_tuples_s
handshake,bplustree,1,1,SUCCESS,639.684,1962870.1
handshake,bplustree,1,2,SUCCESS,564.979,1969513.56
handshake,bplustree,1,3,SUCCESS,542.076,2044252.47
handshake,bplustree,2,1,SUCCESS,518.31,1923462.79
handshake,bplustree,2,2,SUCCESS,440.821,2064354.92
handshake,bplustree,2,3,SUCCESS,464.699,1969922.47
handshake,bplustree,4,2,SUCCESS,526.011,2124532.38
handshake,bplustree,4,3,SUCCESS,491.361,2016137.42
handshake,bplustree,4,4,SUCCESS,478.164,1895891.37
handshake,bplustree,8,1,SUCCESS,656.521,2078030.71
handshake,bplustree,8,2,SUCCESS,613.388,2038379.3
handshake,bplustree,8,3,SUCCESS,826.826,1929809.9
handshake,bplustree,12,1,SUCCESS,625.765,2012881.03
handshake,bplustree,12,2,SUCCESS,935.345,2098205.47
handshake,bplustree,12,3,SUCCESS,822.278,1841582.53
handshake,bplustree,16,1,SUCCESS,1355.13,1856280.74
handshake,bplustree,16,2,SUCCESS,882.717,2115810.62
handshake,bplustree,16,3,SUCCESS,993.103,1712890.81
handshake,bplustree,20,1,SUCCESS,712.871,1750296.06
handshake,bplustree,20,2,SUCCESS,992.493,1954627.39
handshake,bplustree,20,3,SUCCESS,1235.23,1536732.49
handshake,bplustree,24,1,SUCCESS,931.405,1639790.42
handshake,bplustree,24,2,SUCCESS,1200.26,1544100.9
handshake,bplustree,24,3,SUCCESS,1441.25,1321741.1
handshake,bplustree,28,1,SUCCESS,1544.06,1183844.71
handshake,bplustree,28,2,SUCCESS,1246.45,1275258.67
handshake,bplustree,28,3,SUCCESS,1400.2,1327969.33
handshake,bplustree,32,1,SUCCESS,1107.15,1463764.69
handshake,bplustree,32,2,SUCCESS,2191.42,865042.49
handshake,bplustree,32,3,SUCCESS,1341.83,1297321.04
handshake,bplustree,36,1,SUCCESS,1415.19,1318318.42
handshake,bplustree,36,2,SUCCESS,1283.06,1055599.11
handshake,bplustree,36,3,SUCCESS,1664.11,1097983.97
handshake,bplustree,40,1,SUCCESS,1526.53,894086.45
handshake,bplustree,40,2,SUCCESS,1302.22,1226433.25
handshake,bplustree,40,3,SUCCESS,1652.12,1166243.98
handshake,bplustree,44,1,SUCCESS,1907.38,1003298.25
handshake,bplustree,44,2,SUCCESS,1777.61,1041817.29
handshake,bplustree,44,3,SUCCESS,1562.52,1166637.76
broadcast,bplustree,1,1,SUCCESS,532.083,1879406.03
broadcast,bplustree,1,2,SUCCESS,395.682,2527282.01
broadcast,bplustree,1,3,SUCCESS,380.411,2628735.76
broadcast,bplustree,2,1,SUCCESS,958.268,1043549.4
broadcast,bplustree,2,2,SUCCESS,932.155,1072782.96
broadcast,bplustree,2,3,SUCCESS,900.256,1110795.15
broadcast,bplustree,4,1,SUCCESS,1682.29,237770.99
broadcast,bplustree,4,2,SUCCESS,1970.07,203038.37
broadcast,bplustree,4,3,SUCCESS,1624.48,246232.79
broadcast,bplustree,8,1,SUCCESS,3061.32,130662.76
broadcast,bplustree,8,2,SUCCESS,3296.61,121336.77
broadcast,bplustree,8,3,SUCCESS,3199.33,125026.33
broadcast,bplustree,12,1,SUCCESS,5089.59,78591.75
broadcast,bplustree,12,2,SUCCESS,6125.58,65299.91
broadcast,bplustree,12,3,SUCCESS,5010.44,79833.24
broadcast,bplustree,16,1,SUCCESS,8427.75,47462.28
broadcast,bplustree,16,2,SUCCESS,6383.98,62656.8
broadcast,bplustree,16,3,SUCCESS,7298.24,54807.73
broadcast,bplustree,20,1,SUCCESS,11104.1,36022.69
broadcast,bplustree,20,2,SUCCESS,10161.2,39365.55
broadcast,bplustree,20,3,SUCCESS,9231.58,43329.52
broadcast,bplustree,24,1,SUCCESS,13585.6,29442.92
broadcast,bplustree,24,2,SUCCESS,13579.7,29455.66
broadcast,bplustree,24,3,SUCCESS,11248.2,35561.1
broadcast,bplustree,28,1,SUCCESS,12981.0,30814.29
broadcast,bplustree,28,2,SUCCESS,16025.3,24960.54
broadcast,bplustree,28,3,SUCCESS,13591.8,29429.46
broadcast,bplustree,32,1,SUCCESS,15907.6,25145.29
broadcast,bplustree,32,2,SUCCESS,15036.1,26602.65
broadcast,bplustree,32,3,SUCCESS,15488.1,25826.24
broadcast,bplustree,36,1,SUCCESS,19894.7,20105.86
broadcast,bplustree,36,2,SUCCESS,19855.4,20145.62
broadcast,bplustree,36,3,SUCCESS,16673.1,23990.75
broadcast,bplustree,40,1,SUCCESS,17013.8,23510.3
broadcast,bplustree,40,2,SUCCESS,22082.9,18113.57
broadcast,bplustree,40,3,SUCCESS,17495.0,22863.74
broadcast,bplustree,44,1,SUCCESS,20077.5,19922.8
broadcast,bplustree,44,2,SUCCESS,19049.8,20997.57
broadcast,bplustree,44,3,SUCCESS,24021.8,16651.52
